Sample	Top over-represented sequence	Sum of remaining over-represented sequences
GM64_R1	0.0	0.0
GM64_R2	0.0	0.0
GM65_R1	0.0	0.0
GM65_R2	0.21186641885139074	0.0
GM66_R1	0.0	0.0
GM66_R2	0.0	0.0
GM67_R1	0.1015756497556252	0.0
GM67_R2	0.12533790220143676	0.0
GM68_R1	0.0	0.0
GM68_R2	0.18322549571981608	0.0
GM69_R1	0.0	0.0
GM69_R2	0.10756457833846883	0.0
GM6_R1	0.1084789100023971	0.0
GM6_R2	0.0	0.0
GM70_R1	0.0	0.0
GM70_R2	0.0	0.0
GM71_R1	0.0	0.0
GM71_R2	0.10406223262698741	0.0
GM72_R1	0.0	0.0
GM72_R2	0.12593823988715933	0.0
GM73_R1	0.0	0.0
GM73_R2	0.11002666166357442	0.0
GM74_R1	0.0	0.0
GM74_R2	0.10169496048965503	0.0
GM75_R1	0.0	0.0
GM75_R2	0.0	0.0
GM76_R1	0.0	0.0
GM76_R2	0.1654357499598947	0.0
GM77_R1	0.0	0.0
GM77_R2	0.17471831290730216	0.0
GM78_R1	0.0	0.0
GM78_R2	0.0	0.0
GM79_R1	0.0	0.0
GM79_R2	0.11938005951808808	0.0
GM7_R1	0.10390315762201119	0.0
GM7_R2	0.1456486355913923	0.0
GM80_R1	0.13470842144905704	0.0
GM80_R2	0.10984049823041923	0.0
GM81_R1	0.0	0.0
GM81_R2	0.0	0.0
GM82_R1	0.0	0.0
GM82_R2	0.18037123714712086	0.0
GM83_R1	0.0	0.0
GM83_R2	0.12866685881960477	0.0
GM84_R1	0.0	0.0
GM84_R2	0.0	0.0
GM85_R1	0.0	0.0
GM85_R2	0.11049722212359867	0.0
GM86_R1	0.0	0.0
GM86_R2	0.13118535337153567	0.0
GM87_R1	0.10905815545125083	0.0
GM87_R2	0.0	0.0
GM88_R1	0.0	0.0
GM88_R2	0.19578931007604275	0.0
GM89_R1	0.0	0.0
GM89_R2	0.0	0.0
GM8_R1	0.10176050777400748	0.0
GM8_R2	0.17713758253745981	0.0
GM90_R1	0.0	0.0
GM90_R2	0.11064104939754638	0.0
GM91_R1	0.0	0.0
GM91_R2	0.0	0.0
GM92_R1	0.0	0.0
GM92_R2	0.0	0.0
GM93_R1	0.0	0.0
GM93_R2	0.0	0.0
GM94_R1	0.0	0.0
GM94_R2	0.0	0.0
GM95_R1	0.0	0.0
GM95_R2	0.13928584571225297	0.0
GM96_R1	0.0	0.0
GM96_R2	0.10641734825505089	0.0
GM97_R1	0.10247498644164785	0.0
GM97_R2	0.0	0.0
GM98_R1	0.0	0.0
GM98_R2	0.16120639495446173	0.0
GM99_R1	0.0	0.0
GM99_R2	0.0	0.0
GM9_R1	0.10171507555803966	0.0
GM9_R2	0.0	0.0
