gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast
Montipora_capitata_HIv3___RNAseq.g42736.t1,58.00977578085401,-2.6563683302602015,0.6770305991961229,-3.923557271139974,8.72510117505276e-5,0.0010152330946007599,33vs30
Montipora_capitata_HIv3___RNAseq.g29809.t1a,29.66582312927642,-2.3166250375010105,0.6466492510627817,-3.582506333524068,3.403133630629876e-4,0.003224267082022628,33vs30
Montipora_capitata_HIv3___RNAseq.g42599.t1,3200.6270934308213,2.381923217934006,0.12924140454656963,18.430031972267265,7.543846906409859e-76,3.386055683942065e-72,33vs30
Montipora_capitata_HIv3___TS.g18792.t1,41.72737093530809,1.9756141699838783,0.43579290610086296,4.5333784518434275,5.804767516701405e-6,1.0040346434957326e-4,33vs30
Montipora_capitata_HIv3___TS.g29771.t2,577.5064391335701,-1.8471580213444825,0.1796077945087432,-10.284397881488177,8.285833258051917e-25,2.6564973270547164e-22,33vs30
Montipora_capitata_HIv3___RNAseq.g12181.t1,62.10103597973117,1.5552288137305965,0.4073868343616417,3.8175725933008504,1.3477113906662885e-4,0.0014844668900627328,33vs30
Montipora_capitata_HIv3___TS.g42148.t1,30.393858090820565,7.4807026734125754,1.183591162000281,6.320343471279485,2.60982568671533e-10,1.2595916768625546e-8,33vs30
Montipora_capitata_HIv3___RNAseq.g25605.t1,141.12836733402816,-1.8669664985811338,0.24079352913622593,-7.753391485553255,8.947024806104559e-15,9.024431649932654e-13,33vs30
Montipora_capitata_HIv3___RNAseq.g30396.t1,49.26374031944442,-2.1153789568789096,0.6453510218240975,-3.277873413603265,0.0010459228867293901,0.008129220566380723,33vs30
Montipora_capitata_HIv3___RNAseq.g22746.t1b,122.66775201109375,-1.6545629172521399,0.29585331836278134,-5.592510932134556,2.2380905727960305e-8,7.317294843918034e-7,33vs30
Montipora_capitata_HIv3___RNAseq.g11702.t1,1546.9738773975505,-1.563117534682925,0.16764416977044566,-9.324019659158408,1.1201428686862967e-20,2.259667984763345e-18,33vs30
Montipora_capitata_HIv3___RNAseq.g9704.t1,335.8457906697437,-1.6281179607658327,0.19394930517054548,-8.394554233304314,4.6766511639927295e-17,6.409511068574464e-15,33vs30
Montipora_capitata_HIv3___RNAseq.g35680.t1,25.795525963037583,2.2503468403334423,0.5437124823303647,4.138854474497996,3.4904425504222836e-5,4.68308934337136e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g40499.t1,237.62119238509422,1.5351751424713458,0.25341054831429766,6.058055407256817,1.3777694289307634e-9,5.7393207255273614e-8,33vs30
Montipora_capitata_HIv3___RNAseq.g44167.t1,231.0294592880388,-1.6494182175287848,0.22433545758654677,-7.352463294361092,1.9458698021394172e-13,1.671585953474215e-11,33vs30
Montipora_capitata_HIv3___RNAseq.g46131.t1,96.43488929512425,-1.987974656944104,0.374919792527107,-5.302399864099924,1.1429016030592968e-7,3.1137565070298355e-6,33vs30
Montipora_capitata_HIv3___RNAseq.g15802.t1,105.27858930294043,1.9306529676846143,0.51205670344046506,3.7703890110464773,1.6299327950291788e-4,0.0017450097437062538,33vs30
Montipora_capitata_HIv3___RNAseq.g33131.t1,5119.316180121609,1.8209942420689351,0.14589635385970215,12.481423927975966,9.428525606249149e-36,6.771189949383888e-33,33vs30
Montipora_capitata_HIv3___RNAseq.g37571.t1,168.69848741682446,1.6119847534718166,0.2957598360303584,5.450316632263597,5.0280220806137735e-8,1.5020483932668834e-6,33vs30
Montipora_capitata_HIv3___RNAseq.g11731.t2,231.30879103357216,1.5592350640571622,0.29839425863545727,5.225419118945083,1.7376106397503266e-7,4.482336411792724e-6,33vs30
Montipora_capitata_HIv3___RNAseq.g10854.t1,78.38044629387588,-1.7905394936827503,0.5028082638627681,-3.5610780935204436,3.693352053848407e-4,0.0034608790592272594,33vs30
Montipora_capitata_HIv3___RNAseq.g13215.t1,145.36739730027386,-1.5966416500123046,0.25416736377277754,-6.281851557620444,3.3456422545868445e-10,1.5683462412232953e-8,33vs30
Montipora_capitata_HIv3___RNAseq.g28076.t1,107.90217215216352,2.67236158702576,0.45454376121779305,5.87921739342784,4.122107118659506e-9,1.5613567765487927e-7,33vs30
Montipora_capitata_HIv3___RNAseq.g7505.t1,300.59225278320423,-1.9635003239312185,0.23841556229832053,-8.235621471195591,1.7862789725053286e-16,2.2979260644452086e-14,33vs30
Montipora_capitata_HIv3___TS.g5013.t1,776.6181330556299,-1.7967674407165664,0.15092646906932577,-11.904919341161083,1.1157113457259088e-32,6.070145909443323e-30,33vs30
Montipora_capitata_HIv3___TS.g50787.t1,833.7201552833919,2.8394799675038365,0.2114270710400914,13.430068124840108,4.030405627323114e-41,3.8085211912083784e-38,33vs30
Montipora_capitata_HIv3___RNAseq.g14663.t1,87.96680096722169,-1.8941930691732225,0.29083125460513537,-6.513031316888511,7.364914772668012e-11,3.9828216815807675e-9,33vs30
Montipora_capitata_HIv3___RNAseq.g10804.t1,108.33118905209865,-2.023334161971674,0.33550255740475843,-6.030756300705853,1.631941257280997e-9,6.751122887839405e-8,33vs30
Montipora_capitata_HIv3___RNAseq.g21305.t1,74.87711994803509,-1.7189061029365282,0.4220500505259808,-4.072754169308445,4.646045489138227e-5,5.962480393994834e-4,33vs30
Montipora_capitata_HIv3___RNAseq.g15064.t1a,95.22658345618905,-2.495986167198929,0.3760548333970605,-6.637293143267547,3.194958611370391e-11,1.8869173325178946e-9,33vs30
Montipora_capitata_HIv3___RNAseq.22332_t,43.80340903426321,-2.678774017648124,0.7356175562590425,-3.641530840116074,2.710216507079691e-4,0.002673583910335647,33vs30
Montipora_capitata_HIv3___RNAseq.g34294.t1,67.88682400201135,1.6462551720885095,0.4307440462665986,3.8218872352552484,1.3243425019415875e-4,0.0014650181934602133,33vs30
Montipora_capitata_HIv3___RNAseq.g28322.t1,441.75575984418396,-1.7984752701831925,0.1759742399298007,-10.220105345536009,1.6116563677985004e-24,4.904352275839707e-22,33vs30
Montipora_capitata_HIv3___RNAseq.g36923.t1,170.8129840895977,-1.5248794634469929,0.2397799198577107,-6.359496092716526,2.0241667944780858e-10,9.956682363851932e-9,33vs30
Montipora_capitata_HIv3___RNAseq.g43617.t1,133.38237811925814,-1.5907703867184064,0.33031906749714446,-4.815860007028381,1.4656725601822963e-6,3.0562932805473803e-05,33vs30
