Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
Q3T0A0		P16636	Q90YA8	F8RT80			Q5D013	Q504N0
Q922D8		Q9JI03	Q13310	Q8VDW0			Q9Y4E5	Q02241
P53450		P0CT40	A5D6U8	Q3TX08			P00516	Q9DBR7
Q9C098		Q7TQN8	A0JPI9	Q96RE7			Q03468	Q0IHP2
Q922M5		Q01635	O88202	Q6DDT5			Q6DG32	Q9D6M3
Q12874		P26325	Q8R121	P23780			P13731	P84335
P35033		Q0VCM4	Q8K1S5	O75879			Q8VD00	Q00547
Q6DH02		Q96SM3	Q05876	Q8TCQ1			Q99574	O93390
P30568		Q3V3Q7	Q9WU60	A7MCB7			A1L1P9	A6H584
Q8VDF3		Q5RDP8	Q9WUW8	Q32LT7			Q9GKM4	P40313
Q28E61		Q7M3E1	Q07203	Q8C2E4			P21531	Q91041
Q5ZJU3		Q3T0A3	O77737	P02554			Q9BPY3	A0MSJ1
Q6PFR5		A0A0C4DH26	P80971	P46199			O43451	O13067
Q8NB78		P01660	Q86SQ9	Q9H8E8			Q9DG02	O95393
Q96DI7		P27120	Q15853	Q9H501			A2AKM2	Q9JKF1
Q16842		Q13310	Q3ZC25	P08579			P04323	Q9D7U6
P54227		Q27J81	O14645	A0A1B0GVZ9				Q15021
Q8VE97		Q28178	B5DGK1	Q5R7B3				Q9H8V3
Q9YGS0		A4IGL7	Q9UKG9	Q9BX93				P23919
Q6NZ06		Q9PTG8	B0BNL6	P17289				Q9UBC2
Q28BT8		Q5DU00	B1PHQ8	P62321				Q5RF83
O35685		P49263	Q5M8Z0	Q9JHE5				P62289
A0A1W2PQ73		Q7ZU42	Q6NSJ0	P04323				Q9BXW9
Q15024		P01693	P70274	Q00536				P21981
Q5ZHZ0		Q7RTR2	O93343	Q5RH02				O14578
Q8BG60		Q8IXT5	Q5RC10	P41512				Q9EQP5
Q8I7P9		Q1LYL8	P13821	Q9H5Z1				P97477
O93484		B5DGK1	P98095	Q8K009				A0A0G2K0D3
Q6INX4		Q6DRJ7	Q9GKY7	P11607				Q5TZA2
Q6PBK1		Q7RTR2	Q9H3L0	O14830				Q8NFY4
Q7LHG5		P07354	Q1L864	Q7ZWD4				F1QZ88
P0C862		Q5R7K9	Q9GKT2	P35270				P23975
Q9CW07		Q02878	P21328	Q6PFP6				Q02241
Q3T0Q0		Q63ZR6	P70684	Q4KL94				Q60FX9
Q3SZV5		Q6NUF4	Q5XG04	D3ZKX9				P79958
P23347		O15034	Q8BHD8	P62323				P27361
Q8TE73		O75385	Q6NTY6	Q6PFM1				Q14008
Q501J6		P15941	Q2WG80	Q01433				Q1LW01
P10394		Q00780	O14595	Q5RBW0				Q90611
P13388		Q9GKY7	Q08623	P70318				Q99K43
O14841		P21328	Q92090	Q8BU03				P78417
Q6R2W3		Q69ZW3	Q92090	P13216				Q03350
Q9Y105		P51464	Q5RDN9	O88618				P16924
Q5SUC9		Q3MHL7	O08807	A1A4K8				Q9NZM1
F1R983		Q91309	Q8AXL1	Q9Y5X1				P23735
Q6PFJ1		Q6NTY6	P11493	P81601				Q5UNS9
Q99NI3		Q90X49	Q9Z0E8	Q8NBN3				Q1WIM2
Q6PCS4		Q01196	Q9U281	Q5ZJH9				Q4V8H8
P18700		O70138	Q9ERK0	Q9Y375				Q9MYP6
Q29RV1		Q13009	Q9CXS4	P13676				P10394
Q49LS6		P59384	Q27955	O15091				O02751
Q6P5D8		O93512	Q9CQK1	Q2KIN3				Q8TE58
O54967		Q9Z0E8	P36514	B5DGM4				Q8QGP3
Q9Y6D6		Q6EE31	Q15797	Q9WVL0				
Q5T5P2		Q6DJ83	Q9N2I9	Q5ZKQ6				
Q1LZ95		Q8BGZ2	P70047	P17248				
P49947		Q9W6Y1	Q7SYM0	Q7ZXY0				
Q6P1R4		Q2KHS5	Q8N3Y7	Q5R806				
O95243		Q60610	A2AAJ9	Q15125				
Q91ZJ5		Q63ZU3	Q566R7	Q16566				
P14381		Q566R7	P41689	Q6YJI5				
Q5XJD3		Q61789	P21743	Q96IP4				
Q4QY71		Q90275	P27925	Q96CW9				
A4FUW8		Q8HZM5	P05712	Q99L13				
Q01063		P85108	Q803I4	Q5RBK1				
Q5ZJ66		P51910	Q9JJ93	A0A0G2KQY6				
Q05793		Q9NPI5	Q8TCT9	Q9QZS5				
Q9QYB5		Q4R7G8	Q8R0N6	Q99L45				
Q4V8E6		P15988	Q9QYN5	Q9Z0J5				
Q8WYQ3		Q6DRD4	O73737	Q9Z1X9				
