Sample	Unique Reads	Duplicate Reads
GM127_trimmed_clipped_R1_paired	6883818.0	1236114.0
GM127_trimmed_clipped_R2_paired	6842900.0	1277032.0
GM128_trimmed_clipped_R1_paired	8094889.0	1470983.0
GM128_trimmed_clipped_R2_paired	8076026.0	1489846.0
GM129_trimmed_clipped_R1_paired	8441394.0	1434155.0
GM129_trimmed_clipped_R2_paired	8449315.0	1426234.0
GM12_trimmed_clipped_R1_paired	6429648.0	945288.0
GM12_trimmed_clipped_R2_paired	6391914.0	983022.0
GM130_trimmed_clipped_R1_paired	7452365.0	1054486.0
GM130_trimmed_clipped_R2_paired	7419082.0	1087769.0
GM131_trimmed_clipped_R1_paired	8209855.0	1281802.0
GM131_trimmed_clipped_R2_paired	8178956.0	1312701.0
GM132_trimmed_clipped_R1_paired	7208449.0	1028417.0
GM132_trimmed_clipped_R2_paired	7153528.0	1083338.0
GM133_trimmed_clipped_R1_paired	6552890.0	976307.0
GM133_trimmed_clipped_R2_paired	6544740.0	984457.0
GM134_trimmed_clipped_R1_paired	6767493.0	866974.0
GM134_trimmed_clipped_R2_paired	6737956.0	896511.0
GM135_trimmed_clipped_R1_paired	6875919.0	1186396.0
GM135_trimmed_clipped_R2_paired	6826039.0	1236276.0
GM136_trimmed_clipped_R1_paired	8298690.0	1141303.0
GM136_trimmed_clipped_R2_paired	8260760.0	1179233.0
GM137_trimmed_clipped_R1_paired	8898413.0	1455731.0
GM137_trimmed_clipped_R2_paired	8882976.0	1471168.0
GM138_trimmed_clipped_R1_paired	7439549.0	1078548.0
GM138_trimmed_clipped_R2_paired	7411550.0	1106547.0
GM139_trimmed_clipped_R1_paired	8555891.0	1359315.0
GM139_trimmed_clipped_R2_paired	8535478.0	1379728.0
GM13_trimmed_clipped_R1_paired	5816526.0	946113.0
GM13_trimmed_clipped_R2_paired	5787760.0	974879.0
GM140_trimmed_clipped_R1_paired	8219776.0	1328118.0
GM140_trimmed_clipped_R2_paired	8201273.0	1346621.0
GM141_trimmed_clipped_R1_paired	7232628.0	1022771.0
GM141_trimmed_clipped_R2_paired	7209831.0	1045568.0
GM142_trimmed_clipped_R1_paired	6711719.0	960679.0
GM142_trimmed_clipped_R2_paired	6705469.0	966929.0
GM143_trimmed_clipped_R1_paired	6504683.0	998505.0
GM143_trimmed_clipped_R2_paired	6488782.0	1014406.0
GM144_trimmed_clipped_R1_paired	6678234.0	916397.0
GM144_trimmed_clipped_R2_paired	6648491.0	946140.0
GM145_trimmed_clipped_R1_paired	6645855.0	941335.0
GM145_trimmed_clipped_R2_paired	6623637.0	963553.0
GM146_trimmed_clipped_R1_paired	8586650.0	1796517.0
GM146_trimmed_clipped_R2_paired	8604124.0	1779043.0
GM147_trimmed_clipped_R1_paired	6852064.0	995381.0
GM147_trimmed_clipped_R2_paired	6848011.0	999434.0
GM148_trimmed_clipped_R1_paired	8517074.0	1255804.0
GM148_trimmed_clipped_R2_paired	8503659.0	1269219.0
GM149_trimmed_clipped_R1_paired	6622547.0	932469.0
GM149_trimmed_clipped_R2_paired	6600923.0	954093.0
GM14_trimmed_clipped_R1_paired	7697032.0	1211503.0
GM14_trimmed_clipped_R2_paired	7655774.0	1252761.0
GM150_trimmed_clipped_R1_paired	8498233.0	1264328.0
GM150_trimmed_clipped_R2_paired	8461313.0	1301248.0
GM151_trimmed_clipped_R1_paired	7069262.0	1026892.0
GM151_trimmed_clipped_R2_paired	7053008.0	1043146.0
GM152_trimmed_clipped_R1_paired	8210755.0	1390026.0
GM152_trimmed_clipped_R2_paired	8193962.0	1406819.0
GM153_trimmed_clipped_R1_paired	7792698.0	1178841.0
GM153_trimmed_clipped_R2_paired	7766501.0	1205038.0
GM154_trimmed_clipped_R1_paired	7510540.0	1126445.0
GM154_trimmed_clipped_R2_paired	7499827.0	1137158.0
GM155_trimmed_clipped_R1_paired	6434386.0	994824.0
GM155_trimmed_clipped_R2_paired	6428991.0	1000219.0
GM156_trimmed_clipped_R1_paired	7969449.0	1246165.0
GM156_trimmed_clipped_R2_paired	7965880.0	1249734.0
GM15_trimmed_clipped_R1_paired	7000065.0	1227251.0
GM15_trimmed_clipped_R2_paired	6975725.0	1251591.0
