darkturquoise	red	darkgreen	darkgrey	orange	floralwhite	brown	darkolivegreen	bisque4	darkred	darkorange2	darkmagenta	greenyellow	midnightblue	skyblue3	paleturquoise	thistle2	salmon	lightcyan	sienna3
P21328	Q501J2	O15432	B0S5A7	Q9YI66		Q0IHV9	O75648	A2BHJ4	Q9Y295		Q13427	O08583	A8WGU8	Q62158	Q5F226		Q5R5W0	Q7SZE3	Q17R14
Q80U96	P63170	Q9BXM7	Q9WU60	Q6NZQ6		Q3ZC34	P79741	P05371	Q99P77		Q96IP4	Q12874	Q9H0H5	Q1LYL8	Q1LW01		P35072	O54827	Q9UQD0
Q91Z69	B0BN93	P13388	Q92090	P80387		Q00438	B2GV47	H2K887	Q5I0B9		Q9ULU4	Q0VC71	O15123	P10394	Q03113		Q9H4E7	Q6P121	Q8BGR2
Q9W734	P13821	Q9DBB9	O18767	Q9Y257		P46934	I0J1J1	Q9JIQ3	Q3ULW8		Q6P0D5	A3KNK1	P55008	Q2EMV9	Q09324		Q90752	Q8C1B1	Q5R4U0
Q9PUN2	Q9R045	Q6AZD3	A1L504	Q9Y2H8		Q66JY2	Q5FS12	Q9H165	Q4R5P6		Q5E959	Q00688	Q9Z207	Q62158	Q24UI6		Q7SIB3	Q9IAC6	Q86SE5
Q8WXK3	Q96J01	O00472	Q90YA8	P04114		Q9QYT7	Q9D662	Q5ZKI6	Q7T2B9		P17708	Q01588	Q04202	P14373	Q8BYR5		A9JRB3	Q9BST9	Q66HZ2
Q8BMF8	Q6DGZ3	A5D6U8	Q3SYU3	Q5I085		Q6A4J8	B0UXP9	P11722	P61406		Q5PRA2	O94864	P18298	P19971	Q98989		P61135	O55012	O08678
Q90X49	O35207	Q4A1L5	Q5M8Z0	Q924W7		Q6NZW0	P18754	P24456	Q58ED9		Q4L1J4	Q2KJC8	Q64399	Q6MFZ5	A6QQQ9		F1QPR4	O00192	P12107
Q28DH0	Q8N1S5	Q9N2I7	O88956	F1QMV3		P51810	Q5XI81	Q9GZU7	P61082		P11607	Q7TQG0	Q5PQN0	Q91431	Q25460		Q05513	Q5JXM2	Q99715
Q6PHK6	Q8BT35	P98073	Q9BYV1	P51589		P11980	Q90ZY6	O00214	Q3U3R4		Q7TNC4	Q6IQE0	Q6NUF4	P04323	P18520		Q5JSP0	E9Q8I9	Q5T4T1
P25685	Q7YRZ7	Q5RAK3	Q6DBU1	A2VDZ9		A1L1R6	P35658	A0JPI9	Q6P878		P70318	Q16566	O88806	Q14149	Q92817		Q12965	Q6NZT2	O14770
A3KQ55	Q6NV04	P40818	Q8R034	Q7T339		P27361	Q6NZQ2	O88450	Q96WV6		Q8C7R4	O42227	P10606	Q6MFZ5	Q09666		Q5BP74	Q9NRJ5	Q4ZHA6
O60315	B0R0T1	Q6DGY3	Q68CP4	P36514		Q16549	Q9EPE9	Q8N3C7	Q8WMD0		P13623	Q00779	P28799		Q86UK0		Q9W735	Q7ZVN4	Q2PFW9
E9QG68	Q9Y673	P52161	Q8IZU9	Q08E43		P35815	Q7SXK5	Q9BZV1	Q9Y385		Q9NBX4	Q9JJB9	Q5SPR8		Q3BBX8		O95428	P21328	Q9UQB3
P27815	P58467	Q9PT92	Q6NYI0	Q8BYK4		Q6P2B1	Q9H9D4	Q96BY7	P46782		Q6NW85	P07949	Q8N4B1		Q7LHG5		Q99P74	P03934	O88737
Q99PL5	Q7L273	Q98T91	Q9BXW6	Q78YZ6		Q9CR67	Q9NZN8	Q92052	Q6TGY8		Q12979	Q63ZU3	Q5XIZ9		O43520		Q8BW96	Q9HCJ0	Q9UL68
F1R345	Q5R4A3	Q8BGC9	Q9D668	Q3UTQ7		Q5ZKG2	P54727	A7Z035	Q5U3J8		P35072	E1C1U1	Q6R2W3		Q76LL6		Q06190	O08919	Q6P788
Q9DBH0	P84083	Q9R087	P11586	Q71SY6		Q86Z02	Q5XG71	P0CJ78	Q95SX7		Q6PBK1	Q9Z0J5	Q8NGH9		Q29297		E7FBY6	Q9P2F9	
Q80WM5	Q9UMS0	D3ZKU7	Q6UFZ8	O08858		Q3UHH2	Q9UL46	P36968	O73895		Q08CK7	Q15546	Q15723		Q91428		Q86W92	Q92738	
A5PN28	Q92485	Q1LY46	P11493	P30568		F1MH24	Q99LG2	Q9ERI6	Q9YI66		Q08BY0	A0ZSK3	Q5U4T8		Q9D7D7		O08773	Q9EST3	
Q3MHV6	Q5ZJF6	Q28DT9	Q98TZ8	Q9YI36		A3KPQ7	Q04207	Q7Z7M0	Q4R4V2		P08579	P14380	P79955		Q7T3R4		P33145	Q7ZUP1	
P0DPB3	Q7SZQ0	Q9Y255	P02301	O73755		Q3TUF7	Q5ZMD2	Q6R2W3	O95822		P12864	Q05519	Q5ZMF3		Q9BZF2		D3YWE6	Q9PUK8	
P70302	Q6GQG3	Q91287	P50053	Q6P5P3		Q9BXI6	Q9YGY3	A1L390	A3KQV2		Q90X49	Q9JK81	Q6DHU8		Q6BBL6		Q99PL5	Q761X5	
B1Q006	Q9BTE0	Q9EQ20	P08548	Q5VYY1		Q90WR8	Q9NVI1	Q2I6J0	Q5BJJ6		Q6DRD9	Q92038	Q8AXV6		Q9Z260		Q5BKW7	Q5TZA2	
Q1KKW7	Q52L45	Q5I047	Q9JIL5	Q03734		Q8NEZ4	Q3UHX0	Q6P2T7	Q06AU7		Q9Z2S7	P07746	Q86VV8		Q90303		O93449	P59598	
A4IF87	P61203	Q9PWF7	Q99999	Q86WA6		P98095	Q5VZ89	A2AKM2	Q2HJ49		P38935	Q63633	Q9HB75				Q6DC39	P53675	
Q8R4K2	Q566V0	Q7ZV35	Q60417	Q80TC5		B0BN95	Q9QXL2	Q99315	Q15025		Q9UNS1	Q2KJJ0	P50533				Q7SIB2	A6H8I0	
Q6A070	Q5EA98	Q5R6R3	Q9UGQ2	A4QNX3		P97675	P46479	Q9JHY1	P62142		Q7ZVE3	Q3UFY7	Q28HU3				P49024	A6H584	
Q15262	Q9CQA1	P50637	F8W2M8	Q6EKJ0		Q9ERE8	P57783	Q5R7U1	Q5R7X0		P17136	Q17R09	Q7ZVS3				Q86WK7	Q9UPW0	
Q56A36	Q8STF0	Q6XBT4	Q9Y2T3	Q99743		G3V9R8	Q9JLA3	P10394	Q969Q1		Q9QUR6	P35763	Q9NZM1				Q8C2Q3	Q8BPM2	
P53367	Q4VAA7	Q01703	A1DZY4	Q9Y6A2		Q8NBP0	Q16719	Q8CG79	Q15291		A0JMK9	Q6DIH3	P23735				Q52KW8	Q5XJB9	
Q8BMB0	Q9NRR5	P47772	Q8N357	P70389		Q4R571	Q9NZJ6	Q6V0K7	Q5U247		P42025	Q9NVS2	Q9ESN5				O60725	B3DK56	
Q8IXF9	O95685	Q3T0P5	Q9CQV6	Q8HXQ5		Q148N0	Q9H307	Q7T076	Q6DFC0		Q8VE97	Q7ZWC4	Q92162				Q9ERA5	Q5ZLC8	
Q9UHB7	Q3B7H2	Q5ZK14	Q5PR68	Q03933		Q7TNV1	Q8WY07	O00423	Q7T3B0		P49915	O35817	P23735				Q5H9E4	O15403	
P70335	P60003	P24367	Q9BQS8	Q9PW72		A0A0R4ITC5	Q8BTS4	Q9P2R6	Q06647		P83571	Q8HXS3	O43683				Q9HCM3	Q6P104	
Q58CQ5	Q7Z388	Q9H8H3	Q9H222	P10394		Q8VBW5	Q9CYU6	Q8K4C8	Q5ZHN3		Q709C8	P07746	Q9PTG8				Q9HCU0	Q5RCU4	
P53406	P47224	Q503P5	O13224	Q6DHS9		A0A0H2WHF1	Q8AXB4	Q08CX5	Q8UW64		P60027	Q9W7F2	Q02241				P0CT39	Q9XYQ2	
Q6ZN28	O75881	P34993	Q1LUC3	Q96SA4		Q9NZW5	P02543	P50147	O15085		Q6DC64	O73723	F1QGZ6				P19477	Q6TJY3	
O15063	P46414	Q568G4	P70684	A3KQ55		P45380	Q14296	P23188	Q8WWI1		Q5ZL72	Q65WT0	P51958				O93390	P04323	
Q8N5H7	P82916	O95872	P35072	Q9DCQ3		O43147	Q6DFT3	Q07113	P10394		Q15008	Q9H5Z1	O13067				Q502J0	Q9W7R4	
Q7TQK0	Q7T347	O75907	Q5ZI49	Q96MB7		Q7ZTY6	F1PJP5	Q9NPR2	Q90705		Q5FVB0	Q32P65	P97682				A1L1R5	F1RA39	
Q6P3H7	Q64471	Q8R121	Q2YDS1	Q58EK4		Q8BL97	Q640U0	O13082	Q708S5		Q6NZ06	Q62203	Q02241				Q8WVV9	Q9NU02	
P35072	Q9GZX3	Q8N4U5	Q8N0U8	Q7T2V2		Q7Z417	Q8HXY4	P10401	P51464		Q9P2I0	B3DIY3	Q9Z1S0				Q6NZI2	B0BN95	
Q61409	Q5RCU5	Q0IIF0	P49584	Q28C60		Q5YJC2	B2GV24	A8YPR9	Q66KL0		Q8BVY0	P28073	O42376				O75962	Q63788	
B2KF05	P62876	Q5RDP8	Q5XG04	O95340		P53612	A8C754	Q6IQE1	Q6GL11		Q7ZU29	Q9Y105	P97477				Q86TG7	Q6TEK3	
Q6IQE1	Q9NWT8	Q32LE3	Q566R7	O14832		Q80TR8	O96006	Q80WQ4	P14448		Q99NI3	Q9ER58	Q8AYG3				Q7T2H2	Q96FA3	
Q802D3	Q9DCA2	Q8N4C7	Q16760	P51799		Q8BRK9	O43719	Q9Y4E5	Q96WV6		Q6NXE6	P62489	P62289				Q9MYP6	Q6DJ83	
Q924C9	A8QMS7	Q90YV8	Q7LHG5	Q7T330		P0C928	Q5T6C5	Q5U1W4	P63140		Q5VYK3	P21265	Q9H0H5				Q86XS5	Q6AZB8	
P27447	Q5SVD0	Q9UKG9	O75132	Q9Y3C5		Q9EPK7	Q96BP3	Q9D0B6	Q92786		Q17QZ7	O75132	P31146				Q9EQ31	Q4LFA9	
Q8K4B2	Q08DY9	Q5RGU1	Q8NEG4	Q2NNR5		Q3UA37	O13082	Q8AYK6	Q6EE31		Q5XJS0	Q8UVC3	P04323				G3X745	P36201	
Q9D4G1	Q7ZXQ9	P0C548	Q8N4C8	O54992		Q5RA29	P40320	Q9HCN8	P03934		Q5RFR6	Q8TFK8	Q6P823				Q6ZU67	Q12852	
Q13131	A5WUL3	Q6P0T2	O43815	Q7SXX7		F1N9S8	Q5U300	Q9NXG6	Q8C147		Q80TM6	Q8NFH4	P21328				P07357	Q5PPS5	
Q810A5	Q0IHI1	Q12981	P13608	Q9BGL2		P21328	Q6DHF7	Q17QK3	Q6DH23		Q3TIX9	Q9JHP7	P0CT39				P56747	P28652	
