ABLG,AlternateID.s.,CommonName,Phylum,Class,Order,Family,Genus,SpeciesName,Authority,DonatingLab,Collector.ind.,CollectionDate,CruiseID,HaulID,StationID,Equipment.Gear,Locality,Region,StartLatitudeDD,StartLongitudeDD,EndLatitudeDD,EndLongitudeDD,Depth.m.,Temp.degC.,Habitat,Length.mm.,Weight.g.,Age.yrs.,Sex,IdentifiedBy,ReceivedAs,OriginalPreservation,SpecimenLocation,SpecimenPreservation,TissueLocation,TissuePreservation,DNAextracted,ExtractionDate,ExtractionPlate,ExtractionWell,X.DNA.ng.ul,ExtractionVolume.ul.,DNAng,ExtractionGel,DNAquality,DNAlocation,Remaining.DNA.ng.ul,RemainingVolume.ul.,RemainingDNAng,Method,PrepDate,SeqPlateName,i5barcode,i7barcode,MiseqDate,MiseqRawDataLocation,NovaseqDate,NovaseqRawDataLocation,BioProject,BioSampleAccession,Publication.s.
1960,"HS04-82,PCod2004_HcteSt_82",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,B05,98.76,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1961,"HS04-83,PCod2004_HcteSt_83",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,C05,165.26,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N507,N711,,NA,NA,NA,NA,NA,NA
1962,"HS04-84,PCod2004_HcteSt_84",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,D05,92.4,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N504,N703,,NA,NA,NA,NA,NA,NA
1963,"HS04-85,PCod2004_HcteSt_85",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,E05,88.5,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N507,N703,,NA,NA,NA,NA,NA,NA
1964,"HS04-86,PCod2004_HcteSt_86",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,F05,100.45,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1965,"HS04-87,PCod2004_HcteSt_87",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,G05,121.14,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N521,N720,,NA,NA,NA,NA,NA,NA
1966,"HS04-88,PCod2004_HcteSt_88",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,H05,54.24,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1967,"HS04-89,PCod2004_HcteSt_89",pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/23/04-3/26/04,CSG0083,,,,Hecate Strait,eGOA,,,,,,,,,,,,,,,,,NA,,,,PCod2004_SckyeBaker_08,A06,106.46,200,,yes,HMW bands and smearing,NA,NA,NA,NA,not prepped,,,#N/A,#N/A,,NA,NA,NA,NA,NA,NA
1968,PCod2005_Near_SF145,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,2/27/2005,SF145,67,,,Near Islands,Aleutian,,,,,,,,870,8850,,F,,,,,,NA,,,,PCod2005_02,A01,29.4,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,lcWGS,,,N521,N724,,NA,NA,NA,NA,NA,NA
1969,PCod2005_Near_SF147,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,2/27/2005,SF147,67,,,Near Islands,Aleutian,,,,,,,,780,6320,,F,,,,,,NA,,,,PCod2005_02,B01,15.44,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,lcWGS,,,N506,N706,,NA,NA,NA,NA,NA,NA
1970,PCod2005_Near_SF148,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,2/27/2005,SF148,67,,,Near Islands,Aleutian,,,,,,,,920,12540,,F,,,,,,NA,,,,PCod2005_02,C01,43.4,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,lcWGS,,,N510,N726,,NA,NA,NA,NA,NA,NA
1971,PCod2005_Near_SF149,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,2/27/2005,SF149,67,,,Near Islands,Aleutian,,,,,,,,870,9650,,F,,,,,,NA,,,,PCod2005_02,D01,36.08,200,,yes,HMW bands and no smearing,NA,NA,NA,NA,lcWGS,,,N504,N703,,NA,NA,NA,NA,NA,NA
1972,PCod2005_Near_SF151,pacific cod,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,"(Tilesius, 1810)",Ingrid Spies,,3/3/2005,SF151,72,,,Near Islands,Aleutian,,,,,,,,920,12250,,F,,,,,,NA,,,,PCod2005_02,E01,65,200,,yes,HMW bands and smearing,NA,NA,NA,NA,lcWGS,,,N510,N726,,NA,NA,NA,NA,NA,NA
