Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
P48960	Q5SU73	Q62158	P04323	Q6DG03	Q99PD4
P52292	O96006	Q62158	P23228	Q5RGJ5	Q66HY8
P81140	Q4V9P9	P13216	Q9Z2I6	Q9D0B6	Q4R4J0
Q99087	O00370	Q9URU4	Q5R9F4	Q8TDG4	P04323
Q04202	Q0VCM6	A0A0U1RQI7	Q8IZJ6	A4IIK1	P04323
P48303	Q15569	Q7RTR2	P0CT40	Q803M0	P20825
Q92503	P35072	Q03110	Q92052	Q9Y606	Q6AZB8
Q6P4A8	Q9UR07	Q9Y5X1	Q9NBX4	Q9ULZ9	Q9W7R4
P17036	P26584	O00370	Q9P267	Q6ZQB6	O96006
Q501J6	Q7SXS8	Q58EJ9	Q0QEP2	Q8C8N2	F1QPC3
Q14781	Q5VYK3	Q7ZUS1	Q9N2I7	Q4G0N4	Q9HCI6
Q5F3I6	Q6ZN57	Q64399	Q9UJW8	Q7SXE8	P57102
Q9NBX4	Q6GPW2	Q91V33	E9QAG8	Q6PFP6	Q6ZWQ7
Q6PC60	Q9HCJ0	Q2KIN3	B2GUE2	Q99999	Q01484
Q3MHJ7	O43670	Q9Z1S0	Q6MFZ5	Q2NKQ1	O97827
Q5XIY2	Q4QY64	Q9DAZ9	Q9Y5Q9	D3ZKX9	Q86UP8
Q5R454	Q8VCY6	O35405	P51871	Q9TUQ3	Q6GPW2
Q9ER04	P16884	B5DGM4	Q9H5Y7	P18749	P48303
P35072	Q05B51	Q80Y19	O15344	Q9DBX3	Q9Z1N0
Q6BEA2	Q9C0C9	Q05858	Q8N5Y2	Q9Y295	Q9D952
Q5R6K8	Q9UHB9	O15033	O70589	Q1XHU0	F1QGZ6
Q9WU49	Q8C7R4	Q8VD72	O15550	Q6R2W3	O75417
Q9W6I9	Q7TQG0	Q9WVL0	Q9R001	A0JMI9	Q7TQG0
P49947	P55786	Q9CQX0	Q5ZJH7	P35072	Q6PRD1
Q6AXJ3	Q9D0Q7	Q8N806	P83510	Q9D3A8	Q78EG7
Q568G4	Q6PRD1	Q9PTG8	P26041	A7Z064	P19367
Q5MNZ9	Q8R4P9	Q91785	E9QAG8	Q5R8Z8	Q6DI48
P42125	Q09666	Q9Y394	O43345	Q92052	Q11212
Q9HB40	Q503X2	Q9JIY5	Q14587	A4Z944	Q63484
P14381	Q52KG4	Q9MZU4	E9QAG8	Q5R5U3	Q7T347
P14381	Q91WQ5	A9JR78	Q62158	Q7RTR2	P20595
P52292	P53451	Q7Z3D6	Q62158	Q5RH02	P12104
Q7Z698	O14980	Q5ZKQ6	Q7Z7G0	Q7RTR2	D6RIA3
Q7SXW6	F8RT80	P25975	P80456	Q7RTR2	A0A0R4IVV0
P20825	P12104	Q8IYD8	P04323	Q7RTR2	Q86UE6
