Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Upregulated	Cool_Downregulated	Warm_Upregulated	Warm_Downregulated
Q96IP4	Q9YHZ6	Q66J69	Q9Y3B2	P00504	Q7M456	Q6AXJ9	Q91YD9	Q9TU17
Q9NPB8	Q32LQ4	Q99J21	Q6NS52	Q7T292	P61150	Q45VK7	Q68EL3	O70589
Q9UJA5	Q8NB12	Q803H4	Q99PL5	Q5PQN1	Q6NYX6	Q67FY3	Q96BD5	O15550
Q8BT35	Q9WTQ7	P28024	Q90ZE4	Q15034	Q5R664	Q5ZKB9	Q2KHY5	Q08BZ4
Q91XQ2	Q3T0J1	Q1LXC9	Q62760	Q9W725	A5A6H9	Q14119	Q2TBN5	Q7Z7G0
Q5TYV4	P0DTE5	P79955	P58405	Q92828	P61967	Q9QZS3	O75197	Q9D2R8
Q6NWF1	P55809	O95785	Q8IW19	Q12904	Q8JIY8	O95104	P49706	P10620
Q9NR61	Q6DDV8	Q8TF68	Q8CAT8	Q6N021	Q80TV8	Q9JL56	Q3SZI0	Q8IV48
Q66I21	Q0V8A3	O73895	O18765	Q6DDT5	O73723	Q10835	A3KPN8	Q6PC60
Q498Z6	Q03669	O73895	O18765	Q6IQU7	Q7RTR2	P53565	Q3UP38	D4ABL6
Q66KG0	A8C754	Q5XLR4	Q9JL56	Q502K3	Q66IH9	O00461	Q1LVN8	Q5R444
Q9QXQ1	Q7SXB3	Q8BN82	Q0II70	Q32LC9	P86810	P46936	Q3TLD5	Q6TXF1
Q9DAC7	Q62622	Q9NZL6	D4A523	Q9TRY9	Q62158	P25155	Q08CD5	Q7L273
Q7T047	Q58D05	A3KPW9	Q9YHB5	Q7T010	P26584	P23711	P04753	Q6GM14
Q5R8M4	O75146	B5X3W7	Q9BZE0	Q9H773	Q13257	Q8CI12	Q7L5Y6	Q9Y251
P51915	Q2YDJ8	Q6GLQ4	Q6PHG4	Q969H0	P39963	Q5PRB3	Q1LUT1	Q06441
Q9C0K0	Q7ZT48	Q8N4L2	P51410	Q8TCQ1		E7FAP1	P61972	Q2PKF4
Q2JII9	P52826	Q9D1C8	Q8AW35	A7MCB7		Q6GN15	Q14703	Q5ZIQ3
F1QDI9	P62168	Q9H3M7	Q3UHC7	Q5XGB9		Q9TTY1	Q9I8T7	Q7T321
Q6DHR8	Q8QFX1	Q92556	Q8N8Q3	Q503E1		Q5RAZ3	Q8R034	P56199
Q6ZM28	Q9WU42	Q64028	Q9QXH4	P32250		P0DOX8	Q9BSE4	P50151
O95415	Q5RE52	Q9PWD3	Q5R5B6	O43290		Q9BGL2	Q8BGQ7	P27615
Q8N103	A9C3P0	Q61003	Q15274	Q7ZW16		A6NCF5	Q01134	Q9UHK6
Q06HQ7	Q9Y239	A5WVU9	Q9CPX9	Q9WUC8		D3ZA76	Q8CE64	B6ZLK2
Q2KN98	Q08CN9	O75496	Q5TYS5	Q6DBQ8		Q794F9	Q8BQ86	E7FGY2
Q5I085	Q90478	Q9CQR4	Q08BG7	O95453		Q86YW7	Q8QGV2	P43405
Q3ZCK3	Q5RC10	P34275	Q9UKT9	Q99J36		Q5H8C1	Q95M18	Q9JHW0
P14018	P08649	Q7YRQ8	P55198	Q32LT7		Q9BV36	Q8CIZ7	B0UXH6
P36956	Q00780	Q8K3I9	Q6P2T7	Q32LT7		Q63931	Q86YQ8	Q7ZWD4
Q9UBI9	Q9GKY7	Q9CQ71	P30533	Q86YC2		O70303	P33267	Q64620
Q9D9K3	Q7SYE0	Q7Z429	Q9HBK9	O75127		Q9HCU0	Q8C828	Q5ZJ81
Q6IQ55	Q6ZMW2	O93484	Q5ZLX4	Q96ME1		Q5R7W8	P0C548	Q9Z0Z3
Q9WVK8	P49282	A3KP77	P22670	Q96IR2		Q9C086	P0C548	O00238
Q9Y6A2	Q8IUR6	P62315	Q28EM8	P30883		P55777	Q91W89	A8E0R9
Q5Q0U5	O55096	Q9Y4A8	P32856	Q9NQ79		Q37080	Q9NUA8	Q9H799
Q2TAA8	O89103	Q503N2	Q14678	A5D7J3			Q9UDY8	Q4KLI9
Q08BY0	Q9UH90	Q9R1Q8	P28648	Q8BJM3			Q2YDS1	P39429
Q58T08	Q8WY07	Q91W90	Q1RMA6	Q5ZLN1			O75152	Q6P1G2
Q9H299	Q9GKT2	Q04906	Q8BFQ9	Q8WXD5			Q8K4Q6	Q5M870
Q9PVZ9	Q91766	Q9IA31	Q642H2	P46198			P02385	G3XA57
Q8NFA2	P15428	Q5R628	O42376	Q8CID0			Q9Y2Y9	Q02084
A9LMC0	Q9ERW3	P04818	A4IGF3	O75884			Q5R511	P11678
Q9HBF4	Q0II29	Q9WTU3	Q5ZKQ3	Q5U378			Q2KI80	B0FPE9
Q92537	P68373	Q4W1W1	Q5U4C9	Q9C005			Q32LU7	Q3THS6
Q90YS3	Q6ZMW2	P60868	Q9MYY8	Q3V1V3			Q9UNP4	Q811M5
F8W4H9	Q5R7K4	P10160	Q9Y2H1	Q8R2E9			Q20A00	Q92162
Q5RHH4	A4II20	Q9HCI7	P20373	P08579			C0K3N5	Q8N5B7
Q5SPF7	P09411	P50591	Q8VBX0	Q5VWQ0			P79403	B0R0D7
O43909	Q91ZW2	Q96N96	Q9Y264	Q6J9G0			Q9BGT1	Q3SWX7
O35218	Q9CPW7	Q00342	P25207	A1L1F4			O18806	C3KJF2
P0CB74	Q2WG80	A1L259	Q68CP9	A0A1B0GVZ9			Q80ZW0	Q6NVG7
Q96S38	Q5U3H3	Q5RBL1	Q90339	O70475			Q6PE25	O09114
Q6P963	Q6DG22	P10688	Q98T91	Q9Z1M4			E7EXT2	Q9QZS8
Q90WU3	Q5SWU9	B3SRQ2	P13127	Q0VC81			Q9EPW2	Q5T6C5
Q2HJ98	Q8BKT8	Q9PTJ6	E1BB03	Q9BX93			P53447	P19086
Q68EI3	Q9D1J3	O55137	Q86UD0	P61129			Q5XIS1	Q9CUS9
Q5RGU1	Q92090	Q5XK92	Q4G0U5	Q5XJQ5			A6NJL1	P16636
P27987	Q92090	Q8N4T0	Q9CWP6	Q9GZV3			Q62733	Q96EQ0
Q5TYS0	Q6DRL5	Q9BWV1	Q9Y4H2	O54941			E7FBS9	P00636
P26446	Q9R099	P04920	Q5R5U3	O88377			A9CB34	P43346
Q5RHQ8	P53564	Q99LE6	Q05481	B1AR13			Q60HC3	Q64152
O15228	P34932	Q6P9Z1	E9QAG8	Q9NQZ8			O08585	Q9UHF1
Q3KRF3	F1NY98	Q9I8U0	Q6GNW0	Q9Y334			Q91431	O88207
Q06HQ7	D4ACX8	Q9R0B9	Q08477	Q6DI06			A2AQH4	Q9Y6N6
Q15573	Q9EPN1	Q8NEZ4	Q62158	Q8K4Y7			Q8R054	Q9EQX4
A0P9L2	Q0IID7	P51397	Q62158	Q922W5			Q8AWD1	Q13131
Q91437	Q8C4V1	Q501J6	E9QAG8	A9JRE2			Q2I6J0	P23228
Q29455	A4QNZ7	Q9DE46	E9QAG8	Q6B855			Q5U3V7	Q90ZE2
Q802R8	Q96PD7	Q9H2Y9	O88582	Q9ULZ9			Q99KF1	Q9Z2I6
Q5RDC3	Q6P788	P11246	Q7RTR2	P16157			Q6DHS9	Q96I24
Q69Z99	P83571	D4A6L0	Q5DTV4	Q5SPJ8			Q13620	Q2KID0
Q92562	Q9DED4	Q0P6D2	O43345	Q5RGE6			Q9H9B4	Q5SVZ6
Q803R5	Q6GM86	Q5ZML1	Q5R5U3	Q6NZS4			O42249	Q6SA80
O02773	Q6WN34	Q6DBX4	E9QAG8	P24529			O35493	P51151
Q8TCJ0	Q9HC78	P48674	E9QAG8	Q7SXK5			Q8INF0	P05787
Q1W6H9	O95235	Q8AV61	E9QAG8	Q8NFH4			Q9EPW2	Q696W0
A5WWC6	Q2M1Z3	Q5I4H3	Q9JHH6	Q9D937			Q32KI9	P39060
P51915	Q9Z0E8	P07228	Q9JL19	P62321			Q8CAI1	P41440
P51916	Q96LW2	P20456	Q91453	Q9H0J9			O76094	Q6UXG2
Q16363	Q8BLQ9	Q9UKL6	O15550	Q9JIH2			P17560	O60315
Q05876	Q1L8J7	O14841	Q70I47	B9X187			Q8VC74	Q7T019
Q8N7N6	P24802	F1QX91	Q96IR2	Q9Y603			P26038	Q9BZ29
O43150	P08108	Q5F3I6	Q62158	Q99590			Q9D4J7	Q9H5Y7
P79101	E9PZ19	P47897	Q6P3W7	P57740			Q08BM8	O15344
Q8R127	Q2PFW9	P51812	Q9JHI0	Q9UJW8			P21868	Q7SYB5
P70699	P13731	O93274	F1QCY8	Q5SPB1			Q9DB52	Q7TN12
Q3ZBE1	P57071	A0A0R4IKU3	Q15399	F1QQI2			Q5RAA9	O88685
P21932	P50615	Q9JJK2	P10620	Q5RCP3			O95487	O60229
Q8NFH3	Q5SSH7	Q8IZU8	P10620	Q2PFD7			C0H906	Q5U3P0
P31629	O13224	Q8N0X2	Q63664	Q5FVB0			Q3U269	O95810
Q03933	P58500	Q6NZJ6	Q7RTR2	Q6P9V9			Q8AYB8	Q9H4A3
Q9QZI8	Q8BHX1	Q5F339	Q6DGN0	Q6PCS6			Q6GMK0	P17085
Q5ZKH0	Q6P848	Q91ZX1	Q6DFQ7	P35670			Q9Y6I3	B5X2S3
Q9R0I7	Q86YT5	Q15382	O02697	Q00537			Q9WU79	Q14315
P24724	Q4R698	A1K5T6	Q8BJ56	Q9QX47			P0CJ78	P07942
Q13237	B9ENM6	Q60780	Q5ZHX6	P49917			Q8BTN6	Q91987
Q8WU67	O15198	G3X987	Q86UF1	O42266			Q52NJ0	Q9NS98
Q8N8E3	P07746	Q9D4P0	Q91YL3	Q1JPY8			Q52M93	P81601
A0JPI9	P98074	P15086	Q9EPH0	Q5RH02			Q29460	Q9CZG3
Q5HZE0	P79749	P25095	Q28EB4	Q6ZMW2			Q8TB45	Q8BJL1
Q1ECW7	A5PF48	P41588	P0C605	A8E4V2			Q7ZW78	Q3U5C8
Q6DI51	Q8QGQ6	Q68DL7	Q6NYK8	Q62158			Q330K2	B5DE31
Q8WYK2	Q91ZE0	Q4R6V2	Q9YHE8	Q58DQ5			Q9H553	Q8N4C6
B1WB06	Q6P026	P08217	Q9BVG4	Q568N3			P51965	Q9EPX2
A1L390	P70047	Q9WV92	A4IIK1	Q80Z96			Q03989	B8A4W9
Q62073	Q62904	Q5R7A7	Q5R4Q8	Q5T200			Q0P4G8	Q96SM3
P62634	P28575	P38405	P50151	P11387			P33703	P27448
Q9D1H6	Q0V9J0	Q7TS68	Q6DEX3	Q9CQT9			O60239	Q96NE9
Q9NU22	Q2T9P4	Q6AXL3	P42285	Q6IQ20			Q5E9V4	P30305
Q99715	Q4ZHA6	Q13946	O14494	Q9H5Z1			P97812	A1L2F3
Q62158	Q7SZU9	Q6PGS5	Q9WU56	Q8AVJ1			Q8C208	P24722
Q5RIC0	A0ZSK3	O60896	E7FGY2	Q8BZ36			Q5XIZ6	Q28HU3
Q9Y385	P49716	Q863I2	Q3KP44	P27966			Q969L2	Q7M3E1
P10687	Q62735	Q2TAW0	P43405	O95628			Q7T385	Q08C93
Q5ZKJ5	Q96S55	A0ZSK4	A0A0G2KTI4	Q91YR7			Q7Z419	Q8TB37
Q8BUV3	Q16774	P49116	Q2YDP8	Q8IV48			P48448	P08217
P20918	Q566R7	Q6DED0	Q5FVB2	Q95KD0			O89114	P00746
Q9EQ20	Q06AV4	Q6P5D8	Q6UWE0	Q91431			Q8WMV3	Q674X7
F6XZJ7	Q6LDD9	Q7SZU9	Q6NYT3	Q8JZX4			A8S6B6	Q6DC39
P02750	Q9JJJ7	P70669	P52826	Q6PC40			Q1KKV8	Q16667
O43524	P85108	Q96B97	Q9H7P6	Q9Y312			Q5R4I4	P84089
P53798	Q5SGD2	Q9UGJ0	Q5XHX2	Q9UKK9			Q9D0V7	Q5R7U4
Q8WXH0	P70096	Q70Z35	Q99999	Q803G5			Q9QXS1	Q5PPS5
P52161	P51910	Q8IZP0	Q8BPQ7	Q8K009			A2BGG1	Q6AZB8
Q16352	Q924H5	Q96AQ8	A8E0R9	Q6NXD8			Q6PDQ2	P54852
A3KQV2	Q9Y5W3	Q8QFX6	Q00589	Q5RGE5			O46640	Q17QL1
O43683	Q7SZC5	Q8IYA7	Q1LY77	Q5RGJ5			Q9UPV9	P0DOX8
Q922D8	Q3KRG3	Q9H3S4	Q60928	Q9HDC9			Q9P243	P0DOX8
P53450	A0ZSK3	O35206	Q9QWE9	Q6NWJ4			Q8TE57	P97303
Q9NQW6	A6QLI0	Q96EP0	Q90YT6	Q6TXF1			P00491	Q9WUS4
Q7TQE7	Q7ZVZ6	Q86VV8	Q3UHJ0	Q8BGA5			Q62120	Q0II76
Q08CH8	A4FUC0	Q6PKX4	Q5U3N5	Q8R5C5			A2T771	Q640R7
Q9C098	P35573	Q98TW1	Q99LJ2	Q710D6			Q08874	Q7ZUS1
Q6P8D9	Q91736	Q64GA5	Q3THS6	Q5ZLT0			Q5M7W1	Q0P485
Q9PVE4	Q3TUF7	Q6UXF1	P70445	Q9Y251			A3QK15	Q8BR63
A4FVJ7	Q8C5K5	O35586	Q86T96	Q6DG38			Q6NXR4	Q9CQF4
Q9D3N2	Q9H175	A6QR56	Q90375	Q03669			Q90WG2	Q9NBX4
Q1ECZ4	Q91628	P85835	Q5ZJ58	O14830			Q6ZNX1	P18625
B8JJV5	Q63886	Q5MNZ9	O76080	Q4VBT2			O00763	Q4RGM4
Q9NPR2	Q8CCJ9	Q66HY8	Q92162	Q6ZM63			Q08CZ0	Q9NZB8
Q922M5	Q0MQD0	Q6DC04	P55202	P49419			Q9Y6X9	Q9UL68
Q1L8T5	Q9NUG4	Q9BUU2	P00130	P02545			Q8N653	Q5F362
Q9BXB5	P11233	Q61599	Q9DBX3	B5X0W9			Q5ZIR1	Q99715
E2RG47	P18331	A1L251	B0R0D7	Q9JHW0			Q9Z1N9	Q2KN97
P79944	Q7ZXD6	P42694	Q9NQX5	Q8C8N2			Q11005	Q8BNW9
Q12874	Q6DRD4	Q14542	Q6GQB9	Q7ZWD4			A2BHJ4	A1L2U9
Q0P5H8	Q13332	Q8BTV1	Q9Y2P8	Q7SXE8			Q2PZI1	O42227
Q3ZBF8	P51161	P0CL18	Q3SWX7	Q17QK8			Q6NYI0	Q9UNP9
Q9D0C1	P70206	Q63633	Q9WTP7	Q6PFP6			Q9JLH8	Q9CXL1
Q8R2N1	Q50LG9	P35580	P36992	A6H751			Q5M7R9	Q9CPU4
P35033	Q5R698	P14105	O09114	Q6NWX7			Q5R651	O42131
O75937	Q924T7	P50533	Q5ZIL4	Q2KJ44			F7BWT7	Q566V0
Q1L8L9	Q8TCT9	Q8JFR5	P27615	Q148G5			P23276	Q9Z1S0
Q96LR5	Q05B83	Q8QGQ6	P53790	Q5HYC2			P49321	Q6PBT6
Q6DH02	P20397	Q27960	P16636	Q99P88			Q90705	Q80Y19
P02639	Q91678	Q5CZR5	Q9BYN0	Q5W0U4			Q1LYG4	Q28178
P82920	Q9Z0H7	Q32L47	Q1XHU0	Q6P1G2			O95714	Q5RFQ0
Q2EN75	Q56A24	Q6NYD7	P79755	Q1LY80			Q8BKF1	Q9NYQ7
Q1LUC3	Q7Z6M4	O70237	Q502I9	Q6TLE6			Q9YHX4	P10600
Q9CQD1	Q9BX26	Q90X99	P08753	D3ZKX9			Q5R421	Q8VD72
Q9WTL2	Q9DED4	Q7ZZC6	O88207	Q4V9L6			Q9R182	A4IGL7
P30568	P36968	Q90X99	P38407	P62323			Q8TCB0	Q8BZK4
Q5E9E4	Q5CZR5	Q9DGJ0	Q9UGQ2	Q99LB7			P36968	Q52KG5
Q9PW80	Q7ZV90	Q5SZK8	Q9D3A8	P15101			O95049	Q7ZVS3
Q78RX3	Q99376	Q95L55	B0S5Y3	Q6NVG7			Q0P483	Q91785
Q6TEP1	Q80WE4	Q5XIB5	Q6VVX2	Q5RKI9			Q6VZZ7	P61589
Q9QZI8	P14373	Q96QV1	P50757	Q8R1R3			P15253	Q9PTG8
O94880	Q2L6L1	Q8C0G2	Q5SVZ6	Q6PFM1			Q6AXK4	P0DJH9
Q9P055	Q28F51	Q12800	P50757	Q9UHG3			P15253	Q28019
O95302	O95685	O97831	O35507	Q6PBU0			Q96DT6	Q6P0N0
O75718	Q8IZP0	D3ZEN0	Q6SA80	Q8C1A5			Q0V947	P23677
O42227	Q8JZM7	P70699	Q8BXK9	Q01433			Q8C1A5	Q5RBD5
A0A0R4IC37	O43825	Q69D48	Q658P3	P27986			Q7T3S5	Q8K1S5
Q80V03	P51892	A6QLK6	P41440	Q92973			Q6AX33	O14713
Q497B3	P48066	P98160	Q5F479	Q9H9E1			P97318	Q5DU00
Q5M880	Q9NQM4	Q9NZ01	Q92052	Q9Y399			E9QBI7	Q5U3G1
Q58D78	P47736	Q5XGY9	P43031	Q8NHH1			Q9QZC7	P49263
B5FZ84	Q9CXF4	Q1LYG0	Q5QQ37	Q566X6			P30623	A9JR78
Q8CIE4	Q9TRY0	Q53EL6	O43639	Q8NE22			Q8K2I3	A0JNJ1
Q28E61	Q0P4Y8	Q8NF99	Q9P267	Q9NWW7			Q5RG44	B0BLT0
P61220	Q6DFC2	Q9H0H5	Q8N2E2	P31483			Q9UGK3	Q06190
A4VCH0	O60883	Q8WYQ3	Q9PTY0	O95263			P51589	P50591
Q08CK7	O88484	B8JKF4	O54909	A2AJ77			P51589	Q09139
Q5ZJU3	Q92523	A7MB10	Q6NVJ5	Q2KID0			A5X5Y0	Q03692
Q9Z2A7	I6M4H4	P10587	O95342	Q8K4L0			P00949	Q90752
Q9NX07	P79762	Q6UXY8	P22411	B0V2S2			Q1L987	Q08BW6
E7F9L8	P51511	Q91550	Q9H5Y7	Q96SB4			Q76KB1	O14770
P60027	Q642A6	D3YXG0	Q8N5Y2	Q15269			Q6P0H7	Q8HZN9
P61214	Q6P5M2	Q6UFZ9	P15650	Q9DGE2			Q5SUR0	P01837
Q5R5F2	Q9PT92	Q6DG99	O35077	Q8K0W9			Q8IZK6	A0A075B6H7
Q6PFR5	Q7Z3U7	Q5ZJ24	Q7TN12	Q5R6Z7			Q01063	Q5SWK7
Q5XG87	P51857	Q9BEA9	P49767	E9Q236			Q91VS8	Q8R1E7
Q8JHH5	Q07869	P48303	P25155	A5PLL7			Q14151	Q9D032
Q9UM01	P46527	O95477	Q6IMK3	Q6NX08			O70142	P0DOX7
Q1LWC2	Q08DI8	Q9Y2H9	Q5FB27	Q71RC2			P11602	Q91XT6
Q9NV58	G3H0N9	Q8WYR1	Q19AZ8	P13216			P11602	Q58DL1
Q8NB78	O70173	Q5PQN1	Q9H269	O88618			Q62077	P28570
Q5ZL67	Q96SJ8	Q9QZK7	Q3SZ01	A1A4K8			Q9BXS5	Q8BUM3
Q503C8	Q91684	F1QPC3	O60706	P47990			A2A9C3	A2V9Y8
Q08BN9	P70434	Q9W7R4	Q08E43	Q06ZW3			Q8WU76	O94811
Q9NWF4	Q920A7	P49767	Q5R5U3	Q9Y5X1			Q6UUV9	Q3T004
Q92005	Q6AZD4	A2RVA7	O75581	A0A024RBG1			Q6P2T0	Q3T004
B5X4H8	Q8N0W3	Q5M9G0	Q4VBT5	O60285			Q1RLQ5	O93510
Q06180	Q80XC3	P57102	Q9H0J9	O60381			Q6DD44	P30122
Q6AYL5	D2HWM5	Q6ZWQ7	P56273	Q4FZG9			Q9CPT4	Q9Z265
F1RBN2	Q5RGQ2	Q64119	P84239	P81601			P27545	A2AJ77
Q8BQ89	Q4R761	O97827	Q91987	Q149N8			Q7ZTY7	O43347
Q6DHK1	Q8CIW6	Q70EL4	Q80WM9	Q5ZL00			P54646	Q4QRD7
Q1LXS2	Q9NXG6	Q6GPW2	Q5U374	P21872			Q71N41	Q8BK48
Q2F637	Q0P487	Q9NUV9	Q8JHF4	B1AK53			Q6NXL6	E7FH11
Q6AZD3	Q9QUN9	Q6P0T2	Q8VBT2	Q28G71			Q8R3H9	Q9Y5K6
P52758	Q7SYL1	F1QGZ6	A5D7K7	P55196			Q4R683	Q2KIS7
Q56TU0	Q8R034	Q9UK96	Q6DHB1	Q8NBS3			Q91YN5	Q1LYL8
Q2TBP7	Q7ZVG6	Q7TQG0	P26325	Q9NVH0			Q8CIV2	Q02930
Q5ZMM5	Q9JL70	E7F9T0	Q9JIL5	Q8CFK2			Q68EI0	Q5RBD3
Q63871	Q5ZI16	Q9DBN1	O94885	Q8NBN3			Q6ZSB9	Q13322
Q5T4T1	Q801E2	E7F9T0	Q5RDE3	A5PJ65			Q7TQG1	O15072
Q496Z2	P0CG11	Q2KI52	Q5GH72	Q5ZJH9			Q99490	C5IAW9
P30568	P15144	P19367	Q7Z6M2	Q9XT77			A0N0X6	O00192
Q0P4Y4	Q91WM2	Q6DI48	Q6NT16	Q6AYS4			P20004	Q16643
Q54TR1	P08069	Q98972	P31228	A7MBI3			Q9CQN1	Q96CW9
Q9Y226	Q62179	F1QNV4	Q9I8X3	Q8BK64			Q9PTU6	P56101
Q1LWL8	Q803M5	Q91WQ5	Q6PJG2	Q08C93			Q9H8H3	O15084
Q5ZI04	Q9QY23	Q9D3U0	Q9H2Y7	Q9Y375			Q8TBB0	Q6PBI4
Q80UN9	O94986	Q9Y243	P29374	Q99895			Q5RC70	Q9H3G5
Q6DHU1	Q9Y6N5	Q66I85	Q7RTR2	Q96FX7			Q9UIS9	Q6ZN28
Q08462	Q8HZK2	Q60591	Q5TEA3	Q58DU5			A0A0R4IKJ1	O00233
Q6PE01	Q29473	Q91ZW7	O15040	Q674X7			P52435	Q6PH52
Q9NP64	Q78ZA7	Q9NUQ7	Q9YI66	Q3T0C9			Q6NVR9	Q3TQ03
Q9D035	Q5IS37	P20595	P27448	Q5RDB5			Q99M87	P35467
Q60972	Q3ZCN5	O75110	Q1LY46	Q5R5X0			Q6DGR4	P08836
Q9Z148	O97758	Q86UE6	P57781	Q62073			Q566S6	P98198
Q0V898	Q5PRA2	Q6ZSZ6	P15311	Q8R146			Q9Z0G2	A0A0R4IYX6
Q91398	Q29473	D3YY23	Q80XI1	Q4R366			Q6GMH3	Q62894
Q11200	Q8C828	Q8HZJ4	Q6NWH1	Q86YH6			Q9Y5R4	O19063
Q3ZBX6	P15205	Q9BQ16	Q86VP3	P70336			P51644	Q9UBU7
Q9Y574	Q6DRL4	Q96JP5	P30305	Q9BVS5			Q28EG9	Q8CF98
P13668	P0C548	O08915	A1L2F3	O94864			Q9Y535	O00300
O14977	Q80WM5	Q9NYM4	Q7M753	Q4RGM4			Q13751	O18793
Q0VIA1	E1C1U1	P97369	Q95M12	O95279			Q96NX5	O18793
P07356	E7EXZ6	Q29RV0	P47953	Q7T3C7			P35610	Q99J08
P31937	Q02241	P51532	Q8BX94	Q5XJP1			Q9NTZ6	A5PK21
Q03172	Q0IHP2	Q32PL8	Q28HU3	Q8BNW9			Q9Z1J3	Q6PHK6
Q5M7V8	A5WWB6	P07629	P0C870	Q28HM1			Q8BYK4	Q5BJ65
P26433	F1QLY4	Q5U216	Q56P03	O42227			Q96KR6	Q9ESG5
Q5ZKB9	Q8VDF3	Q9D0M1	Q8CFD0	Q9UNP9			Q8MJV4	Q96MU8
Q08170	Q9QY33	Q5YB40	Q8BH83	Q0V7M8			Q92539	Q13555
Q9WVC6	Q5R511	D2XV59	Q5R581	Q91V33			Q8C9B9	O77775
A0A2Y9HKB5	Q2Z1W2	Q9HC58	P0DSE2	Q1LWL8			A8MT69	Q7Z7M1
Q5E9K0	Q9W7E7	Q9UPU3	Q66KL0	Q4KL13			Q9JL58	Q8IZ41
Q8K2Y3	Q6PBN5	Q92503	Q6IQ85	Q5RBX7			Q08DD6	Q0P4Q4
Q8K135	Q61239	Q86T65	Q3T0M0	B5DGM4			Q80WC3	Q9YHC3
Q9R101	Q6AZD1	Q3SZD5	Q16667	Q9NVM6			Q07973	A5A6L1
O88576	Q9UL19	Q8NEG4	A4IGP0	Q05858			P55058	Q5ZIQ3
Q2TB18	Q5RED5	Q9UIA0	Q9H3N1	Q5R7Z5			P04897	Q9UA35
Q9NZW5	Q921G7	Q9QXP7	Q9UN19	P08911			P55006	Q6DRJ7
Q90XW6	Q13151	P25942	P43090	O93526			Q5R7L8	Q63HQ2
Q64261	Q9UMS4	P00504	Q503S6	Q8CHG5			Q86Y97	Q9HBY8
Q3U2A8	Q3ZBR7	Q6INE5	Q5SPC5	Q5RFQ0			P23824	E1C2V1
Q9BT49	P10072	O94988	Q9ERI6	Q9NYQ7			O75410	Q502L2
Q6NZ06	B1AXP6	Q5PQN1	P97303	F1Q8R9			P26927	Q9JLT4
A2A884	Q5DRB8	Q6DHI0	Q9WUS4	O43166			Q9UHJ3	A0JP82
Q7ZWS1	Q6RY07	Q9CQX5	Q9NQL2	Q9Y6S9			Q9GLY5	O08528
Q6PEI3	Q91Y13	Q9Z1Z0	Q0II76	A0JML8			Q5PU49	Q6DFB7
Q1JPY5	Q2QCI8	Q6NYM1	P34902	F1RAX8			Q91X46	P10915
Q99551	Q8NBS3	O08738	B5X3C1	Q9WVL0			P63239	O43854
A2A9F4	Q4AEH4	Q9CX98	Q14DK5	Q01831			Q61990	G3HKI1
O35685	Q0MW30	P00348	P25963	Q8BZK4			Q5SZI1	Q5ZII6
Q9H0R3	P28562	Q6DDT5	P13861	Q86UP2			E1BSW7	Q9R1A0
Q91453	Q5U3W1	Q80Z37	Q5T5X7	Q9H867			Q6RHR9	Q9R0D8
Q9HCB6	P60892	A1A5X5	P18625	P50412			Q5U4Z8	Q5R5L7
A9JRZ0	O88958	Q02367	A0A1D5P556	Q9GZR7			Q9ESJ4	Q6TXF1
Q5U462	O43895	Q96G27	Q96T54	Q8N806			P30280	Q9BST9
Q8NFY4	F1R013	Q80UM7	Q9UL68	O93526			Q02356	Q5REL2
Q5VZK9	Q5NBY9	Q96QV1	Q5F362	P48722			Q6NUT7	Q90W33
P17844	Q8AYS7	P61222	Q99715	Q91785			Q98UK5	Q32L50
P15396	P18625	Q7T010	Q99685	Q505F5			O95793	Q68FD5
A0JMQ0	A2CEM9	Q96P50	Q90YA8	Q9BWH6			P41252	P47776
O55166	P45592	Q6NYE7	Q13310	P51949			Q9W6I0	Q7TSV9
P70459	P97779	Q5XGB9	Q95KR7	P79101			P29144	Q24117
P52293	Q08881	Q5RKN3	Q9CXL1	A9JR78			A6QP81	E9Q3L2
Q5TJE2	D3YY23	Q499E5	A2BIJ3	Q7TMK9			Q6NYP0	Q8BWT1
Q6NXA4	Q13451	Q3SYZ8	P11586	O75844			Q5RE11	P56747
Q5RDG4	Q6NW76	Q0PV50	Q9Z1S0	Q6P0D0			Q61098	Q9YHZ6
C0HBB2	A7MC22	Q9WUC8	Q0IHV1	Q69ZF8			Q6DBR4	Q90WY5
Q99J21	Q9BEG8	P53367	Q27J81	Q9R062			Q58G59	B0JZG0
P15979	Q7Z2H8	Q5HZL1	O73755	O60306			Q497H0	P50749
Q9BD50	Q98TF5	Q9Y5X2	A5D6U8	Q52LJ0			A4IG72	Q9Y2W7
Q9BD50	P56597	P62205	Q9H079	O88509			O95995	Q6P0C6
Q6P8M1	P79749	E7FA21	Q5SPB6	Q6PH57			Q7Z401	Q9DCR2
P28064	Q8BQX5	Q96ME1	A0JPI9	A7YWS7			Q5RAL9	Q6AY91
Q15024	Q99638	Q5U3Q6	Q96BY7	Q98UF7			Q28377	Q8NB12
Q803H4	Q7ZW41	Q98989	Q9EQ20	Q5SWK7			P11722	Q8JJ04
Q92506	Q6V0I7	Q791B0	Q08C53	Q8IYD8			Q1M161	Q567C6
B3DHU2	O76094	O95872	Q9DGJ3	Q08DK7			Q02974	P52739
A7KII6	P20248	A7UA95	X1WBB5	E9Q349			A7YE96	P0DTE5
