Cold (0degC)	Cool (5degC)	Warm (16degC)	Cold_Downregulated	Cold_Upregulated	Cool_Upregulated	Cool_Downregulated	Warm_Upregulated	Warm_Downregulated
Q8K4R9	Q9CSB4	Q90812	Q8WXK3	O42409	Q28BQ6	Q64GA5	Q6ZM28	Q8N8A2
F1NQJ3	Q8BGC9	P84610	Q98TR7	Q1L8I0	O35716	Q8BGQ2	Q5RJA1	Q8VEK0
Q4R8E0	Q8K1T0	Q29RY7	P81425	Q9BY10	Q5ZK03	O94876	Q7L0Q8	Q2T9X3
Q9CQM6	A8KBL7	Q5RFL7	A1A4K8	P30122	Q5PQN1	Q5MNZ9	Q96D71	Q6TNS7
Q8N5M1	Q9GZU5	Q9XSD9	Q8N8A2	Q8TF72	P26584	P42694	P14018	P29318
Q0P4F7	F1LYQ8	Q6ZV73	O35344	A6NEL2	Q60HD6	Q7Z698	Q32KZ1	B0R0T1
Q803Q2	Q01638	P61928	A3KNA5	P30122	Q7ZXV8	Q91WL0	P36956	Q58EL7
Q9H6L4	A4QP78	Q6ZVW7	P48059	P00592	Q00004	Q96QV1	Q9WVK8	Q7SZK7
Q62785	Q9HBL0	Q0VCX2	P39060	P29375	F1QGZ6	B4F6V6	O42097	Q91ZT8
Q9NPB1	Q32NH8	Q6GQN7	Q58EL7	Q9QYR7	O75417	Q9UPU3	E9QCD3	P23352
Q9JL26	Q7ZV60	Q9EP53	Q8NHP6	G3H0N9	P59480	P0CD95	Q9JL15	Q9ULJ7
Q14451	Q3UA16	Q6PHU5	Q96AT9	Q9QYR7	Q503X2	Q9Y2H9	Q3B7D2	Q62784
P84082	P17178	Q6P0B1	Q7Z4L5	Q7SYD5	F1QNV4	P23280	Q5QT17	P05107
P83917	Q0P641	Q8BSS9	Q5ZLD3	Q99550	Q9D3U0	P49767	A4L691	Q9JJ74
Q0IHY4	B0S8I0	Q7ZT42	Q3ZBW2	F1R4U0	P97570	Q2HXW4	Q2KIR8	Q9NZR2
O42101	P22670	Q8AYC1	Q8WXX0	Q4R4V8	Q32PL8	Q70EL4	Q9NZM3	Q90X49
Q9UKS6	Q91ZS8	Q8IY57	Q6PEH9	Q9BT73	Q2TBT5	Q6P0T2	Q68EI3	Q86XP1
Q13164	Q9NZJ4	Q8R4K8	Q99569	Q6DH65	Q96LD4	P57682	Q5TYS0	A6NK06
Q8NBN7	Q1HKZ5	Q6DFX2	Q9Y4X4	P68037	P00504	Q86UE6	Q15573	Q5U3S1
Q4KMJ1	Q8K4T4	Q62767	Q14765	Q5SRE5	Q6INE5	Q6ZSZ6	Q5RDC3	Q6IFT4
Q6TEK3	Q9BWD1	Q8CDN6	Q9JJ74	Q9ULV3	Q5PQN1	Q9UPU3	O00257	Q58CQ5
Q9Y575	Q8MJI6	B3DHW5	P14778	Q8CEC6	Q15034	Q92503	Q8R3T5	Q9D4G1
