Cold_Downregulated	Cold_Upregulated	Cool_Downregulated	Cool_Upregulated	Warm_Downregulated	Warm_Upregulated
132474828	132471174				
132474830	132471176				
132474831	132471180				
132474833	132471216				
132474889	132471228				
132474916	132471492				
132474920	132471500				
132474925	132471792				
132474934	132471925				
132474935	132472077				
132474959	132472115				
132475021	132472235				
132475268	132472299				
132475293	132472302				
132475363	132472329				
132475620	132472480				
132475656	132472553				
132475659	132472567				
132475701	132472584				
132475711	132472687				
132475712	132472714				
132475739	132472755				
132475771	132472768				
132475864	132472835				
132475873	132472864				
132475910	132472989				
	132473022				
	132473178				
	132473223				
	132473256				
	132473264				
	132473300				
	132473307				
	132473420				
	132473489				
	132473562				
	132473563				
	132473581				
	132473583				
	132473591				
	132473621				
	132473683				
	132473686				
	132473766				
	132474022				
	132474024				
	132474135				
	132474352				
	132474412				
	132474476				
	132474533				
	132474581				
	132474610				
	132474678				
	132474730				
	132474787				
	132474948				
	132475267				
	132475290				
	132475406				
	132475431				
	132475504				
	132475529				
	132475591				
	132475686				
	132475721				
	132475762				
	132475825				
	132475843				
	132475880				
	132475899				
	132475942				
	35985466				
	35985469				
	35985470				
