Warm-ALL	Cool-ALL	Cold-ALL	Warm-LFC0.5	Cool-LFC0.5	Cold-LFC0.5	Warm-NoDEGs	Cool-NoDEGs	Cold-NoDEGs
P84104		Q5NVK5	Q91437		Q5U3J8	Q3TLH4		P35738
Q5ZLC6		Q6IN36	Q8C547		A8WHP3	O88989		Q5R613
O14686		Q1AGS4	P14373		P81600	P28663		Q15652
P13834		A7MBJ2	O57415		Q9R013	Q86T20		Q61990
P28345		P52756	Q58CP9		Q2HJG2	Q86UV5		O00308
Q5U3U0		Q92562	P79880		P67999	P28799		Q9CXF0
Q86W92		Q2KIR8	Q6P734		Q8BMS1	Q8WYQ5		Q6A028
Q9Y6A2		Q803W1	Q9PTW9		O54941	Q58DL7		Q92824
Q9PVW7		Q19AZ8	Q9HB40		Q05AK6	B5XB27		Q9ULM6
Q7TMK9		P14448	Q99PP9		Q2KIA9	Q4KLI9		P34932
Q6P5D8		Q29277	Q9UI26		Q9JHW0	Q5R664		Q07287
Q15417		Q8VEM8	Q2KHZ9		Q5SWU9	Q9HC07		E1C1L6
O54774		P28497	Q2KIR8		Q5R8Z6	Q4AEH4		Q9CQ02
P14543		P56701	Q9BRS2		Q6DRC0	P35573		P43690
Q7TQH0		P05413	Q03164		P00504	Q90617		P15122
Q5U367		Q9H6L4	Q9Y5Z4		Q9PV90	Q98967		P62870
E1BYJ2		Q5U3F8	Q6XBT4		Q4R7L3	Q8K4P0		Q95LB0
Q6NYZ4		Q5U3J8	Q5R9G3		Q13214	Q6ZQ58		P27656
P50995		A8WHP3	Q5VWN6		P99027	Q4R3K5		Q498M4
O77775		P81600	Q9JHW0		P15125	Q66HY7		P34913
Q6NYU7		Q9R013	Q6J4K2		P52161	Q01584		O73881
Q6NVU2		Q2KHZ9	P04114		P50121	Q6P5P5		Q9H0A0
P12763		Q2HJG2	Q9Y2L6		Q5R8W6	Q9UKV3		Q5SPH9
Q58EX7		P67999	A1L3G4		Q2PW47	Q2HJ61		O95295
Q28479		P53447	Q7ZUF2		P20397	Q32KH5		P63025
Q90744		Q8BMS1	Q99J59		P27615	Q63150		Q5R7G6
P04920		O54941	Q92615		Q5T0D9	Q6EE23		O55173
Q5R6J7		Q05AK6	P80303		Q6PBQ2	Q9BD50		Q6GL74
E7FEV0		O46640	Q5RB71		Q2KHZ9	Q66IN2		Q5VYS8
A5D6R3		Q5RF34	Q91W43		Q6IRB1	Q6GPD0		P0DP35
Q99MY8		Q2KIA9	Q99K41		Q9NRH1	P98093		P42285
Q8BHE3		A6QP05	B5X3W7		Q5R9U7	Q7ZXV8		Q9NVV5
Q67FY3		Q9JHW0	Q5REY3		B5X2D1	Q24UI6		Q659A1
Q3SZI0		Q5SWU9	O73875		Q8VDW0	Q8R4I1		Q58EK4
A1DPK7		Q5R8Z6	Q92122		A1L1P9	A0A0R4IES7		P14400
Q3V3G7		Q6DRC0	Q2VPU4		Q5ZLF0	Q5F479		O75629
Q9H7P6		P00504	A2AN08		P50143	Q8JIY8		Q8BK35
Q6PJI9		Q9PV90	P49321		Q8IVV2	Q9H2Y7		Q96SB4
Q6Y7W6		Q4R7L3	Q9UNP4		Q5U216	P34913		Q5ZMW3
P51410		Q13214	Q8R0J4		Q0VC16	Q96RE7		O00232
P35505		P99027	Q9WVK8		P02385	Q02819		E7FC72
Q9NR09		P15125	P78536		P31483	Q9CZ04		P62193
Q7SY09		P52161	Q61703		P11498	Q5R8Z6		O00233
Q6IRN2		P50121	Q9UHG0		Q9CU62	Q9Y2P8		P60843
Q568L5		Q5R8W6	Q3TLH4		Q63ZT8	Q96FV9		O93428
O95219		Q2PW47	Q8BIA4		Q6NXY9	Q5XG04		P26369
Q8BIG7		P20397	Q9ESC8		O15068	Q58D55		Q8WYK2
Q8C1A5		P27615	Q28377		Q4TVV3	O75131		Q86VP6
Q9UKG1		Q5T0D9	O88989		Q0P3X8	Q08DD1		Q8MJY8
Q95M18		Q6PBQ2	Q8VIJ6		Q5R8C2	B0VYY2		A0A2R9YJI3
Q7TQG0		Q6IRB1	Q03172		Q13772	O95460		Q5ZMV8
Q19AZ8		Q9NRH1	P28799		Q8JIU7	Q6DHC1		Q06335
Q07984		Q5R9U7	P21868		Q86W92	Q2NL00		Q6NZW8
Q6DEF6		B5X2D1	P17153		O73698	Q6NY77		Q08BA4
Q95LB0		Q9CR16	Q8WYQ5		Q9WUA2	Q70I47		Q32L47
Q96P50		P0CG71	Q58DL7		P50395	E7FH11		P22288
P13667		Q5R995	Q6GQ29		Q3UFB2	Q9QXS1		F1QGW6
Q28C91		Q8VDW0	Q6NYD4		P59046	Q8R105		Q5R526
P12955		A1L1P9	Q6NYZ4		Q7TSV3	Q14571		Q5ZPR3
Q86YT5		P12763	Q4KLI9		Q8VE80	Q8TDY4		Q63610
Q6PC91		Q5ZLF0	Q5R664		Q7T2A5	Q12830		Q99805
Q9HBK9		P50143	Q32L00		Q28BZ2	A2VDF0		Q92542
Q64181		Q8IVV2	P35573		Q8C1A5	P29374		P08537
B1H1P9		Q5U216	Q8K4P0		Q8WVB3	Q641G7		Q9NWW5
Q8TBF5		Q0VC16	Q4R3K5		P62498	Q9Y3D0		Q9Y2X3
Q95M18		P02385	Q32LC9		Q66I59	Q9BXW6		Q9HA64
Q5RBD3		P31483	Q9Z1J3		Q5RGJ8	Q148G5		P53992
Q32KT5		Q5ZM33	Q6P5P5		Q9QYU4	Q96IR2		Q9BD50
A3KP59		P11498	Q2HJ61		O73723	Q9Y6Q2		Q01345
Q5RBM1		Q0VFV6	Q32KH5		Q6DH23	O15105		O73875
Q5RE54		Q9CU62	F1Q8J0		Q148N0	B9ENM6		Q6IRU7
Q66I08		Q63ZT8	Q9BD50		Q0VFV6	A4IGH4		Q9Z1K6
O00462		A2RRV3	Q9H3K2		Q5ZLN5	Q5R7Z5		Q90592
C0HBB2		Q6NXY9	Q66IN2		Q9CZ13	Q3SZF2		P05631
Q90876		O15068	Q9TUQ3		Q5M9G6	Q8TE68		Q6PL18
Q9CZ13		Q4TVV3	Q6GPD0		A7MB63	P56558		Q5VT25
Q5JS54		Q0P3X8	Q9D0M1		Q3MHM8	P26697		Q9JIG8
O95487		Q5R8C2	G3XA57		P53451	Q8NE71		A1A600
Q56A07		Q13772	P54855		O95782	P30932		P15979
P04114		Q8JIU7	Q24UI6		Q8VDM6	Q7RTR2		Q6TH15
P04004		Q64GA5	Q32PL8		Q9NVD7	O15228		Q5ZKB8
Q5VAN0		Q86W92	A4IFW2		P23368	Q07598		Q9NVN8
Q8N7N5		O73698	A7MBJ2		Q9H299	Q5NCX5		Q28479
A1L1F4		P08045	Q2TA24		Q15013	P35738		Q28377
P46424		Q9WUA2	Q4G0W2		Q5R4N8	Q7RTR2		Q7T385
P12270		P50395	Q9UBD5		Q9I9L7	Q6IR74		Q2KJG3
P14373		Q3UFB2	Q5F479		Q6P9L4	O88618		P34943
Q9HD67		P59046	Q8JIY8		Q9NRA0	P21869		P39052
Q64GA5		Q6DEF6	Q9H2Y7		Q7ZUN8	Q28678		Q8R1T4
P28020		Q7TSV3	Q8N2H3		Q6NYV9	Q71R50		Q04799
O42611		Q8VE80	P34913		P48735	P07686		P61963
Q8K1Z0		Q7T2A5	O60244		Q71R50	O14936		Q5M7V8
Q7SXP2		Q9Y6A2	Q9Y2P8		Q63633	Q9UGM5		Q6P742
Q811M5		Q28BZ2	Q5XG04		Q5VT52	O73872		Q8N448
A8WFT6		Q8C1A5	Q58D55		Q9Z2U1	A8WH74		B0UXP9
Q80XC6		Q8WVB3	O75131		B5X3W7	Q95460		P25490
Q8K561		P62498	Q8R054		Q5BL31	Q9NZI7		Q16822
Q9YGF2		Q66I59	Q08DD1		O54782	Q99700		Q9EQH3
Q90XD2		Q5RGJ8	O95460		Q9BYX4	Q0VD48		Q9Y3D6
Q6NZ18		Q9QYU4	Q7Z6Z7		Q8TBF5	P36372		Q6RY07
Q2HJE5		O73723	Q6DHC1		Q5ZM33	Q32LQ4		Q9NRZ7
Q5M872		Q6DH23	Q99M87		Q6PHG2	Q7SYD5		Q5ZMD4
Q8CEC6		Q148N0	E7FH11		Q7SY06	P51968		Q8BH73
A8E0R9		Q5ZLN5	Q9QXS1		P98175	Q91YQ7		Q90YG6
Q17QL1		Q5M9G6	Q8R105		Q9H422	Q9UJY4		Q6DBY2
Q01460		A7MB63	Q14571		Q91060	Q8TE73		P40197
A7E2M3		Q3MHM8	P22027		P50580	Q0P457		Q9UHD2
