Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GM144_R2	GM144_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7670443.0	0.0	150.0	46.0	87.9138536097688	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM145_R1	GM145_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7651983.0	0.0	150.0	45.0	86.9760494640977	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM145_R2	GM145_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7651983.0	0.0	150.0	46.0	87.51727224963541	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
GM146_R1	GM146_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	10467091.0	0.0	150.0	45.0	82.08506956009755	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
GM146_R2	GM146_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	10467091.0	0.0	150.0	46.0	83.18898847554901	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM147_R1	GM147_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7919964.0	0.0	150.0	45.0	86.68346799531241	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
GM147_R2	GM147_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7919964.0	0.0	150.0	46.0	87.4780824742804	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
GM148_R1	GM148_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	9839188.0	0.0	150.0	45.0	86.61606589230588	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM148_R2	GM148_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	9839188.0	0.0	150.0	45.0	87.27871328546117	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
GM149_R1	GM149_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	7634378.0	0.0	150.0	45.0	87.01670414507969	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM149_R2	GM149_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	7634378.0	0.0	150.0	46.0	87.77449013542699	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
GM14_R1	GM14_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	8962846.0	0.0	150.0	45.0	85.74103129726608	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM14_R2	GM14_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	8962846.0	0.0	150.0	45.0	86.14182504416394	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM150_R1	GM150_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	9854597.0	0.0	150.0	45.0	86.33093781795372	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM150_R2	GM150_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	9854597.0	0.0	150.0	46.0	86.96864188246582	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
GM151_R1	GM151_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	8181090.0	0.0	150.0	45.0	86.69598929187403	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM151_R2	GM151_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	8181090.0	0.0	150.0	46.0	87.50316125326594	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
GM152_R1	GM152_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	9685316.0	0.0	150.0	45.0	84.83245246057258	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM152_R2	GM152_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	9685316.0	0.0	150.0	46.0	85.75586982570253	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
GM153_R1	GM153_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	9047339.0	0.0	150.0	45.0	86.20691216709993	150.0	pass	pass	warn	pass	pass	pass	pass	pass	pass	pass	pass
GM153_R2	GM153_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	9047339.0	0.0	150.0	46.0	86.87330863258066	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass
GM154_R1	GM154_R1.fastq	Conventional base calls	Sanger / Illumina 1.9	8704446.0	0.0	150.0	45.0	86.41303615655352	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	pass	pass
GM154_R2	GM154_R2.fastq	Conventional base calls	Sanger / Illumina 1.9	8704446.0	0.0	150.0	46.0	87.0922749554855	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
