Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
GM55_R2	15.424493158885156	46.0	150.0	0.0	7838679.0
GM56_R1	14.167980304335487	45.0	150.0	0.0	7053734.0
GM56_R2	13.225206036324337	46.0	150.0	0.0	7053734.0
GM57_R1	14.56505550756573	46.0	150.0	0.0	7654291.0
GM57_R2	13.848454621422363	46.0	150.0	0.0	7654291.0
GM58_R1	13.726456262849567	46.0	150.0	0.0	7811682.0
GM58_R2	13.32083092172897	46.0	150.0	0.0	7811682.0
GM59_R1	14.735878182646772	45.0	150.0	0.0	9428460.0
GM59_R2	14.285119837372093	46.0	150.0	0.0	9428460.0
GM5_R1	14.456402217992093	45.0	150.0	0.0	6551757.0
GM5_R2	14.141840536236955	45.0	150.0	0.0	6551757.0
GM60_R1	15.015415580441939	45.0	150.0	0.0	9078351.0
GM60_R2	14.208186283891521	46.0	150.0	0.0	9078351.0
GM61_R1	14.831270858323421	46.0	150.0	0.0	9074780.0
GM61_R2	14.315728441696393	46.0	150.0	0.0	9074780.0
GM62_R1	14.333387832997062	45.0	150.0	0.0	7583633.0
GM62_R2	13.19755261122829	46.0	150.0	0.0	7583633.0
GM63_R1	16.674955703474694	45.0	150.0	0.0	8022369.0
GM63_R2	16.16903575883019	46.0	150.0	0.0	8022369.0
GM64_R1	15.057245097181521	46.0	150.0	0.0	9310213.0
GM64_R2	14.132923594695924	46.0	150.0	0.0	9310213.0
GM65_R1	14.213296771918237	46.0	150.0	0.0	7160172.0
GM65_R2	13.77815138916148	46.0	150.0	0.0	7160172.0
GM66_R1	14.406470306729886	46.0	150.0	0.0	9199196.0
GM66_R2	13.850409521487194	46.0	150.0	0.0	9199196.0
GM67_R1	15.073788375119122	45.0	150.0	0.0	9085839.0
GM67_R2	14.400087207251062	46.0	150.0	0.0	9085839.0
GM68_R1	13.463275773225476	46.0	150.0	0.0	7923024.0
GM68_R2	13.062747523621283	46.0	150.0	0.0	7923024.0
GM69_R1	16.917158629645428	45.0	150.0	0.0	9661173.0
GM69_R2	16.38636511563945	46.0	150.0	0.0	9661173.0
GM6_R1	13.824001711406893	45.0	150.0	0.0	8447725.0
GM6_R2	13.414821378193722	45.0	150.0	0.0	8447725.0
GM70_R1	13.462095920617926	45.0	150.0	0.0	8405551.0
GM70_R2	13.002182521249082	45.0	150.0	0.0	8405551.0
GM71_R1	14.402395554200481	46.0	150.0	0.0	9144528.0
GM71_R2	13.698095543100138	46.0	150.0	0.0	9144528.0
GM72_R1	14.427892968217705	46.0	150.0	0.0	7205913.0
GM72_R2	13.616583145205539	46.0	150.0	0.0	7205913.0
GM73_R1	15.814668045823538	44.0	150.0	0.0	8218917.0
GM73_R2	15.20173846624725	45.0	150.0	0.0	8218917.0
GM74_R1	14.751586125290956	46.0	150.0	0.0	9741879.0
GM74_R2	13.952621666225397	46.0	150.0	0.0	9741879.0
GM75_R1	14.797459467652871	45.0	150.0	0.0	7480439.0
GM75_R2	14.11281689308393	46.0	150.0	0.0	7480439.0
GM76_R1	14.4570164316046	46.0	150.0	0.0	8814298.0
GM76_R2	14.038129177804976	46.0	150.0	0.0	8814298.0
GM77_R1	15.24224220262542	45.0	150.0	0.0	9472390.0
GM77_R2	14.788854213655156	46.0	150.0	0.0	9472390.0
GM78_R1	14.733573201076695	45.0	150.0	0.0	7885450.0
GM78_R2	13.75911645420274	46.0	150.0	0.0	7885450.0
GM79_R1	15.386813712979887	45.0	150.0	0.0	8374933.0
GM79_R2	14.879864424604264	46.0	150.0	0.0	8374933.0
GM7_R1	14.146986662215838	45.0	150.0	0.0	6731268.0
GM7_R2	13.78802355888564	45.0	150.0	0.0	6731268.0
GM80_R1	13.02556625212857	45.0	150.0	0.0	6972838.0
GM80_R2	12.496418396492587	46.0	150.0	0.0	6972838.0
GM81_R1	13.59711112095161	46.0	150.0	0.0	6922889.0
GM81_R2	13.245495201404836	46.0	150.0	0.0	6922889.0
GM82_R1	13.725469779501665	46.0	150.0	0.0	9450509.0
GM82_R2	13.277092627279885	46.0	150.0	0.0	9450509.0
GM83_R1	14.307421491528757	45.0	150.0	0.0	7670973.0
GM83_R2	13.564417994468485	46.0	150.0	0.0	7670973.0
GM84_R1	15.685582950582628	45.0	150.0	0.0	8316131.0
GM84_R2	14.894259987588072	46.0	150.0	0.0	8316131.0
GM85_R1	14.29212959349779	45.0	150.0	0.0	7154026.0
GM85_R2	13.58409405419171	46.0	150.0	0.0	7154026.0
GM86_R1	13.497114658737132	46.0	150.0	0.0	6659280.0
GM86_R2	12.890580066002073	46.0	150.0	0.0	6659280.0
GM87_R1	15.40605590563004	45.0	150.0	0.0	8690776.0
GM87_R2	14.900383066222304	45.0	150.0	0.0	8690776.0
GM88_R1	13.203371647221118	45.0	150.0	0.0	6845624.0
GM88_R2	12.761445546298688	46.0	150.0	0.0	6845624.0
GM89_R1	13.945303664313954	45.0	150.0	0.0	8734014.0
